age,job,marital,education,default,balance,housing,loan,contact,day,month,duration
24,services,married,secondary,yes,110,yes,no,unknown,23,may,27
33,services,married,secondary,no,4789,yes,yes,cellular,11,may,220
35,management,single,tertiary,no,1350,yes,no,cellular,16,apr,185
37,blue-collar,divorced,secondary,no,48,yes,no,unknown,8,may,133
55,retired,married,secondary,no,4194,no,yes,telephone,30,jul,208
35,management,single,tertiary,no,747,no,no,cellular,23,feb,141
36,self-employed,married,tertiary,no,307,yes,no,cellular,14,may,341
26,blue-collar,single,secondary,no,592,yes,yes,unknown,27,may,174
41,entrepreneur,married,tertiary,no,221,yes,no,unknown,14,may,57
43,services,married,primary,no,-88,yes,yes,cellular,17,apr,313
31,technician,single,tertiary,no,1166,yes,no,unknown,3,jun,207
43,admin.,married,secondary,no,264,yes,no,cellular,17,apr,113
30,management,single,tertiary,no,149,yes,no,unknown,3,jun,220
31,blue-collar,married,secondary,no,360,yes,yes,cellular,29,jan,89
34,management,married,secondary,no,-294,yes,no,unknown,27,may,532
56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239
49,management,single,primary,no,548,no,no,telephone,31,jul,115
25,blue-collar,single,primary,no,-221,yes,no,unknown,23,may,250
41,retired,single,primary,no,0,no,no,cellular,8,may,239
38,management,divorced,unknown,no,0,yes,no,cellular,18,nov,96
42,management,divorced,tertiary,no,16,no,no,cellular,19,nov,140
44,services,single,secondary,no,106,no,no,unknown,12,jun,109
44,entrepreneur,married,secondary,no,93,no,no,cellular,7,jul,125
31,admin.,married,secondary,no,0,yes,yes,cellular,18,nov,79
41,management,married,tertiary,no,5883,no,no,cellular,20,nov,182
55,blue-collar,married,primary,no,627,yes,no,unknown,5,may,247
67,retired,married,unknown,no,696,no,no,telephone,17,aug,119
34,admin.,married,secondary,no,61,no,yes,unknown,5,may,21
53,admin.,married,secondary,no,105,no,yes,cellular,21,aug,74
33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76
59,management,married,secondary,no,42,no,no,cellular,21,nov,40
42,admin.,divorced,secondary,no,1811,yes,no,unknown,14,may,150
23,services,single,tertiary,no,363,yes,no,unknown,30,may,16
38,management,single,tertiary,no,11971,yes,no,unknown,17,nov,609
36,management,single,tertiary,no,553,no,no,cellular,11,aug,106
31,technician,single,secondary,no,373,no,no,cellular,22,aug,346
32,technician,married,tertiary,no,396,yes,no,cellular,13,may,205
32,technician,single,tertiary,no,2204,yes,no,cellular,21,nov,11
31,blue-collar,married,secondary,no,472,yes,no,unknown,13,may,907
55,blue-collar,married,primary,no,145,no,no,telephone,2,feb,59
26,blue-collar,married,primary,no,0,yes,no,unknown,21,may,425
37,services,married,secondary,no,658,yes,no,telephone,23,jul,175
53,admin.,divorced,secondary,no,26,yes,no,cellular,7,may,56
38,technician,single,secondary,no,50,no,no,cellular,29,aug,98
53,blue-collar,married,secondary,no,2231,yes,no,cellular,14,jul,272
48,admin.,married,secondary,no,3064,yes,no,telephone,15,jul,159
57,management,married,secondary,no,82,no,yes,telephone,4,feb,140
53,technician,married,secondary,no,719,yes,no,unknown,14,may,230
36,retired,single,secondary,no,101,yes,yes,unknown,26,may,314
54,technician,divorced,secondary,no,784,yes,yes,unknown,15,may,579
41,blue-collar,married,primary,no,-516,no,yes,telephone,8,jul,554
30,blue-collar,single,secondary,no,363,no,no,cellular,28,jul,171
48,management,married,tertiary,no,5887,no,no,cellular,13,aug,227
34,unemployed,married,secondary,no,0,yes,no,cellular,13,may,172
56,admin.,married,secondary,no,16873,no,no,cellular,7,oct,223
36,admin.,divorced,secondary,no,-37,yes,no,unknown,27,may,151
31,services,married,secondary,no,338,yes,no,cellular,28,jan,155
29,technician,married,secondary,no,444,yes,no,cellular,21,jul,130
41,management,married,secondary,no,0,no,yes,cellular,7,jul,630
30,management,married,secondary,no,0,yes,no,cellular,12,may,756
42,entrepreneur,divorced,tertiary,yes,2,yes,no,unknown,5,may,380
31,management,single,tertiary,no,6248,yes,no,unknown,9,may,154
35,services,divorced,secondary,no,221,yes,no,cellular,14,may,150
